# Shadow tomography log started 2019-12-30 18:49:40
# Dimension = 4
# True state = (-0.10347576  0.40046587  0.27090373 -0.62819040 -0.17220832  0.44102396 -0.00859407 -0.36969738)
# N        C              re0         im0         re1         im1         re2         im2         re3         im3
  7630394  29170   0.29156743 -0.32391824  0.14452234  0.32770754  0.27749027 -0.57366727  0.34199204  0.39841300
  7653327  22933   0.73143406  0.52401980  0.16174647  0.20945415  0.03550067 -0.09847376 -0.21282527 -0.25322427
  7783216  129889  0.00975139  0.09099208 -0.07490956 -0.77961920  0.48905862  0.12774100 -0.23389661 -0.26077595
  7794276  11060  -0.27015377  0.04774764  0.50555150  0.22286469  0.53764092 -0.36440092 -0.31831392  0.31034911
  7812226  17950   0.26908660 -0.18537075 -0.04779123  0.09494479  0.53930163 -0.14441083  0.75280559 -0.05928390
  7824901  12675  -0.21524273  0.15559252  0.30629655  0.60476576 -0.26296479  0.40637978 -0.27908963 -0.39713512
  7832676  7775    0.49118593 -0.09413660  0.10151916 -0.41641806 -0.21054623 -0.08429858 -0.14750192 -0.70211948
  7836054  3378    0.13345621  0.56235332 -0.43669912 -0.26046397 -0.22761995  0.58071702  0.10485519  0.08580721
  7973610  137556  0.53127463 -0.25106108  0.25244878  0.18561432 -0.56425634  0.08270865  0.11832359  0.46616106
  8012069  38459  -0.40895765  0.14201953  0.09848871  0.52179130  0.37043453 -0.61106123 -0.04550521  0.13390151
  8084366  72297  -0.19251947 -0.03699379 -0.17569735  0.37267916 -0.50277969  0.24768107 -0.49663064  0.48065900
  8122951  38585  -0.06700178 -0.32599716  0.13099042  0.59890679 -0.29657396  0.18007804  0.32394140 -0.53671830
  8146147  23196   0.58491381  0.56680178 -0.12653678  0.39549351  0.18608008  0.14226416 -0.25200453 -0.21404143
  8188037  41890   0.05109903  0.54734932  0.46293554  0.28606675  0.13762483 -0.27636287 -0.21552524  0.50979010
  8223818  35781   0.40805826 -0.05109701 -0.60200823  0.30067931  0.44927746 -0.24034868  0.24344750  0.24325127
  8228129  4311    0.67440069  0.26983853  0.02535669  0.24813928 -0.16569869  0.21377422 -0.31074943 -0.49034083
  8329175  101046 -0.00739973 -0.03148461 -0.38820952  0.19522255 -0.75073181  0.09116754 -0.17507384  0.45560385
  8338698  9523   -0.21151906  0.86797573  0.09876542  0.12926195  0.04880292  0.28912481 -0.09368541 -0.28401182
  8461053  122355 -0.26113046 -0.14949816 -0.05035493 -0.39799739  0.39488008 -0.27569421 -0.51119747 -0.50523579
  8469583  8530   -0.25716757  0.07339835  0.16069969  0.25405974  0.75690570 -0.23497711  0.20036822  0.41211513
  8517269  47686   0.19880514 -0.01711831 -0.66506617  0.52907035  0.15168312 -0.17595253  0.16175182 -0.39727108
  8549149  31880   0.49822266  0.20848799  0.57572343 -0.39885344  0.33654571  0.03985728  0.31971098  0.02643263
  8618211  69062  -0.27822550  0.38300227 -0.00069061 -0.27190471  0.10779908 -0.68052564 -0.21784810  0.42399716
  8660839  42628  -0.31254726  0.28306885 -0.20123363 -0.62765150 -0.10499938  0.60156938 -0.08948163  0.08262749
  8696518  35679   0.26761936 -0.48453368 -0.00315222 -0.03277963  0.01849992  0.19276864 -0.24360768  0.77180040
  8707667  11149  -0.29565454  0.04022972 -0.26821327  0.45081943 -0.13605805 -0.40974425  0.66545606 -0.08099095
  8754340  46673   0.83541571 -0.21423404  0.16941131  0.29436116 -0.01187510  0.08206259  0.32221125  0.17360964
  8844869  90529   0.02975883 -0.12739607  0.34046407  0.08571019 -0.27316674 -0.75035841 -0.38468631  0.27199498
  8875078  30209   0.19931565 -0.33213288 -0.68782963  0.11446910 -0.41114080  0.00529254 -0.35828993 -0.25751077
  8953833  78755  -0.40983021 -0.20246302  0.43349860  0.18445266 -0.46895018 -0.13482044 -0.13008566  0.56043823
  8976301  22468   0.00415639  0.46438358 -0.06199504 -0.18110795  0.11819470  0.30676011 -0.75029332  0.27690310
  9032784  56483  -0.27041983  0.56805633 -0.49381996  0.48054503 -0.23412787 -0.22697459  0.15106121  0.01583121
  9053587  20803  -0.16460185  0.39047392  0.51308200 -0.05811967  0.49186730 -0.55278447  0.03819585 -0.06958651
